Tanggal,Prov,Provinsi,Running Sum of divaksin3 (ribu),divaksin3 (ribu)
7/18/2021,Jawa Timur,Jawa Timur,0.591,0.004
7/19/2021,Jawa Timur,Jawa Timur,0.618,0.027
7/20/2021,Jawa Timur,Jawa Timur,0.641,0.023
7/21/2021,Jawa Timur,Jawa Timur,0.663,0.022
7/22/2021,Jawa Timur,Jawa Timur,0.677,0.014
7/23/2021,Jawa Timur,Jawa Timur,0.722,0.045
7/24/2021,Jawa Timur,Jawa Timur,0.724,0.002
7/25/2021,Jawa Timur,Jawa Timur,0.737,0.013
7/26/2021,Jawa Timur,Jawa Timur,0.754,0.017
7/27/2021,Jawa Timur,Jawa Timur,0.771,0.017
7/28/2021,Jawa Timur,Jawa Timur,0.775,0.004
7/29/2021,Jawa Timur,Jawa Timur,0.788,0.013
7/30/2021,Jawa Timur,Jawa Timur,0.845,0.057
7/31/2021,Jawa Timur,Jawa Timur,0.85,0.005
8/1/2021,Jawa Timur,Jawa Timur,0.857,0.007
8/2/2021,Jawa Timur,Jawa Timur,0.984,0.127
8/3/2021,Jawa Timur,Jawa Timur,1.089,0.105
8/4/2021,Jawa Timur,Jawa Timur,1.776,0.687
8/5/2021,Jawa Timur,Jawa Timur,3.503,1.727
8/6/2021,Jawa Timur,Jawa Timur,8.147,4.644
8/7/2021,Jawa Timur,Jawa Timur,14.709,6.562
8/8/2021,Jawa Timur,Jawa Timur,14.831,0.122
8/9/2021,Jawa Timur,Jawa Timur,20.557,5.726
8/10/2021,Jawa Timur,Jawa Timur,29.877,9.32
8/11/2021,Jawa Timur,Jawa Timur,30.395,0.518
8/12/2021,Jawa Timur,Jawa Timur,36.694,6.299
8/13/2021,Jawa Timur,Jawa Timur,48.563,11.869
8/14/2021,Jawa Timur,Jawa Timur,56.54,7.977
8/15/2021,Jawa Timur,Jawa Timur,56.8,0.26
8/16/2021,Jawa Timur,Jawa Timur,65.265,8.465
8/17/2021,Jawa Timur,Jawa Timur,65.578,0.313
8/18/2021,Jawa Timur,Jawa Timur,70.396,4.818
8/19/2021,Jawa Timur,Jawa Timur,75.015,4.619
8/20/2021,Jawa Timur,Jawa Timur,85.281,10.266
8/21/2021,Jawa Timur,Jawa Timur,91.143,5.862
8/22/2021,Jawa Timur,Jawa Timur,91.227,0.084
8/23/2021,Jawa Timur,Jawa Timur,94.775,3.548
8/24/2021,Jawa Timur,Jawa Timur,98.574,3.799
8/25/2021,Jawa Timur,Jawa Timur,103.514,4.94
8/26/2021,Jawa Timur,Jawa Timur,109.421,5.907
8/27/2021,Jawa Timur,Jawa Timur,118.605,9.184
8/28/2021,Jawa Timur,Jawa Timur,123.719,5.114
8/29/2021,Jawa Timur,Jawa Timur,123.841,0.122
8/30/2021,Jawa Timur,Jawa Timur,126.044,2.203
8/31/2021,Jawa Timur,Jawa Timur,128.275,2.231
9/1/2021,Jawa Timur,Jawa Timur,130.519,2.244
9/2/2021,Jawa Timur,Jawa Timur,132.043,1.524
9/3/2021,Jawa Timur,Jawa Timur,136.315,4.272
9/4/2021,Jawa Timur,Jawa Timur,138.203,1.888
9/5/2021,Jawa Timur,Jawa Timur,138.274,0.071
9/6/2021,Jawa Timur,Jawa Timur,139.715,1.441
9/7/2021,Jawa Timur,Jawa Timur,141.638,1.923
9/8/2021,Jawa Timur,Jawa Timur,142.918,1.28
9/9/2021,Jawa Timur,Jawa Timur,144.119,1.201
9/10/2021,Jawa Timur,Jawa Timur,147.022,2.903
9/11/2021,Jawa Timur,Jawa Timur,148.41,1.388
9/12/2021,Jawa Timur,Jawa Timur,148.552,0.142
9/13/2021,Jawa Timur,Jawa Timur,149.432,0.88
9/14/2021,Jawa Timur,Jawa Timur,150.332,0.9
9/15/2021,Jawa Timur,Jawa Timur,151.341,1.009
9/16/2021,Jawa Timur,Jawa Timur,152.433,1.092
9/17/2021,Jawa Timur,Jawa Timur,154.334,1.901
9/18/2021,Jawa Timur,Jawa Timur,155.506,1.172
9/19/2021,Jawa Timur,Jawa Timur,155.574,0.068
9/20/2021,Jawa Timur,Jawa Timur,156.321,0.747
9/21/2021,Jawa Timur,Jawa Timur,157.348,1.027
9/22/2021,Jawa Timur,Jawa Timur,158.051,0.703
9/23/2021,Jawa Timur,Jawa Timur,159.355,1.304
9/24/2021,Jawa Timur,Jawa Timur,160.974,1.619
9/25/2021,Jawa Timur,Jawa Timur,161.77,0.796
9/26/2021,Jawa Timur,Jawa Timur,161.839,0.069
9/27/2021,Jawa Timur,Jawa Timur,162.424,0.585
9/28/2021,Jawa Timur,Jawa Timur,163.471,1.047
9/29/2021,Jawa Timur,Jawa Timur,164.373,0.902
9/30/2021,Jawa Timur,Jawa Timur,165.22,0.847
10/1/2021,Jawa Timur,Jawa Timur,167.318,2.098
10/2/2021,Jawa Timur,Jawa Timur,168.944,1.626
10/3/2021,Jawa Timur,Jawa Timur,169.182,0.238
10/4/2021,Jawa Timur,Jawa Timur,169.825,0.643
10/5/2021,Jawa Timur,Jawa Timur,170.518,0.693
10/6/2021,Jawa Timur,Jawa Timur,171.589,1.071
10/7/2021,Jawa Timur,Jawa Timur,172.441,0.852
10/8/2021,Jawa Timur,Jawa Timur,174.183,1.742
10/9/2021,Jawa Timur,Jawa Timur,175.707,1.524
10/10/2021,Jawa Timur,Jawa Timur,175.763,0.056
10/11/2021,Jawa Timur,Jawa Timur,177.757,1.994
10/12/2021,Jawa Timur,Jawa Timur,179.408,1.651
10/13/2021,Jawa Timur,Jawa Timur,180.926,1.518
10/14/2021,Jawa Timur,Jawa Timur,181.74,0.814
10/15/2021,Jawa Timur,Jawa Timur,183.217,1.477
10/16/2021,Jawa Timur,Jawa Timur,184.64,1.423
10/17/2021,Jawa Timur,Jawa Timur,184.703,0.063
10/18/2021,Jawa Timur,Jawa Timur,185.154,0.451
10/19/2021,Jawa Timur,Jawa Timur,186.184,1.03
10/20/2021,Jawa Timur,Jawa Timur,186.291,0.107
10/21/2021,Jawa Timur,Jawa Timur,186.894,0.603
10/22/2021,Jawa Timur,Jawa Timur,187.975,1.081
10/23/2021,Jawa Timur,Jawa Timur,189.107,1.132
10/24/2021,Jawa Timur,Jawa Timur,189.143,0.036
10/25/2021,Jawa Timur,Jawa Timur,189.489,0.346
10/26/2021,Jawa Timur,Jawa Timur,189.842,0.353
10/27/2021,Jawa Timur,Jawa Timur,190.159,0.317
10/28/2021,Jawa Timur,Jawa Timur,190.697,0.538
10/29/2021,Jawa Timur,Jawa Timur,191.598,0.901
10/30/2021,Jawa Timur,Jawa Timur,192.552,0.954
10/31/2021,Jawa Timur,Jawa Timur,192.646,0.094
11/1/2021,Jawa Timur,Jawa Timur,193.237,0.591
11/2/2021,Jawa Timur,Jawa Timur,193.537,0.3
11/3/2021,Jawa Timur,Jawa Timur,194.182,0.645
11/4/2021,Jawa Timur,Jawa Timur,195.114,0.932
11/5/2021,Jawa Timur,Jawa Timur,196.334,1.22
11/6/2021,Jawa Timur,Jawa Timur,196.995,0.661
11/7/2021,Jawa Timur,Jawa Timur,197.071,0.076
11/8/2021,Jawa Timur,Jawa Timur,197.548,0.477
11/9/2021,Jawa Timur,Jawa Timur,197.92,0.372
11/10/2021,Jawa Timur,Jawa Timur,198.306,0.386
11/11/2021,Jawa Timur,Jawa Timur,198.736,0.43
11/12/2021,Jawa Timur,Jawa Timur,200.177,1.441
11/13/2021,Jawa Timur,Jawa Timur,201.516,1.339
11/14/2021,Jawa Timur,Jawa Timur,201.597,0.081
11/15/2021,Jawa Timur,Jawa Timur,201.855,0.258
11/16/2021,Jawa Timur,Jawa Timur,202.185,0.33
